"files" "churn" "linecount" "relchurn"
"1" ".gitattributes" 1 2 0.5
"2" ".gitignore" 35 374 0.0935828877005348
"3" ".mailmap" 1 3 0.333333333333333
"4" "aclocal.m4" 11 1905 0.0057742782152231
"6" "AUTHORS" 1 13 0.0769230769230769
"7" "bin/.gitignore" 1 0 Inf
"8" "bootstrap/bin/start_clean.boot" 20 26 0.769230769230769
"10" "bootstrap/bin/start.boot" 20 26 0.769230769230769
"12" "bootstrap/lib/compiler/ebin/beam_a.beam" 1 52 0.0192307692307692
"13" "bootstrap/lib/compiler/ebin/beam_asm.beam" 20 141 0.141843971631206
"14" "bootstrap/lib/compiler/ebin/beam_block.beam" 12 385 0.0311688311688312
"15" "bootstrap/lib/compiler/ebin/beam_bool.beam" 12 385 0.0311688311688312
"16" "bootstrap/lib/compiler/ebin/beam_bsm.beam" 11 199 0.0552763819095477
"17" "bootstrap/lib/compiler/ebin/beam_clean.beam" 7 225 0.0311111111111111
"18" "bootstrap/lib/compiler/ebin/beam_dead.beam" 11 233 0.0472103004291846
"19" "bootstrap/lib/compiler/ebin/beam_dict.beam" 10 38 0.263157894736842
"20" "bootstrap/lib/compiler/ebin/beam_disasm.beam" 15 506 0.0296442687747036
"21" "bootstrap/lib/compiler/ebin/beam_except.beam" 3 82 0.0365853658536585
"22" "bootstrap/lib/compiler/ebin/beam_flatten.beam" 6 53 0.113207547169811
"23" "bootstrap/lib/compiler/ebin/beam_jump.beam" 11 177 0.0621468926553672
"24" "bootstrap/lib/compiler/ebin/beam_listing.beam" 5 47 0.106382978723404
"25" "bootstrap/lib/compiler/ebin/beam_opcodes.beam" 7 125 0.056
"26" "bootstrap/lib/compiler/ebin/beam_peep.beam" 5 40 0.125
"27" "bootstrap/lib/compiler/ebin/beam_receive.beam" 7 128 0.0546875
"28" "bootstrap/lib/compiler/ebin/beam_split.beam" 2 19 0.105263157894737
"29" "bootstrap/lib/compiler/ebin/beam_trim.beam" 8 159 0.050314465408805
"30" "bootstrap/lib/compiler/ebin/beam_type.beam" 13 376 0.0345744680851064
"31" "bootstrap/lib/compiler/ebin/beam_utils.beam" 13 299 0.0434782608695652
"32" "bootstrap/lib/compiler/ebin/beam_validator.beam" 17 779 0.0218228498074454
"33" "bootstrap/lib/compiler/ebin/beam_z.beam" 1 25 0.04
"34" "bootstrap/lib/compiler/ebin/cerl_clauses.beam" 5 41 0.121951219512195
"35" "bootstrap/lib/compiler/ebin/cerl_inline.beam" 10 505 0.0198019801980198
"36" "bootstrap/lib/compiler/ebin/cerl_trees.beam" 7 181 0.0386740331491713
"37" "bootstrap/lib/compiler/ebin/cerl.beam" 9 676 0.0133136094674556
"38" "bootstrap/lib/compiler/ebin/compile.beam" 30 654 0.0458715596330275
"39" "bootstrap/lib/compiler/ebin/compiler.app" 16 70 0.228571428571429
"40" "bootstrap/lib/compiler/ebin/compiler.appup" 6 1 6
"41" "bootstrap/lib/compiler/ebin/core_lib.beam" 10 71 0.140845070422535
"42" "bootstrap/lib/compiler/ebin/core_lint.beam" 12 218 0.055045871559633
"43" "bootstrap/lib/compiler/ebin/core_parse.beam" 10 714 0.0140056022408964
"44" "bootstrap/lib/compiler/ebin/core_pp.beam" 9 110 0.0818181818181818
"45" "bootstrap/lib/compiler/ebin/core_scan.beam" 6 60 0.1
"46" "bootstrap/lib/compiler/ebin/erl_bifs.beam" 6 146 0.0410958904109589
"47" "bootstrap/lib/compiler/ebin/rec_env.beam" 8 43 0.186046511627907
"48" "bootstrap/lib/compiler/ebin/sys_core_dsetel.beam" 6 82 0.0731707317073171
"49" "bootstrap/lib/compiler/ebin/sys_core_fold.beam" 16 1251 0.0127897681854516
"50" "bootstrap/lib/compiler/ebin/sys_core_inline.beam" 10 60 0.166666666666667
"52" "bootstrap/lib/compiler/ebin/sys_pre_attributes.beam" 5 28 0.178571428571429
"53" "bootstrap/lib/compiler/ebin/sys_pre_expand.beam" 16 240 0.0666666666666667
"54" "bootstrap/lib/compiler/ebin/v3_codegen.beam" 14 864 0.0162037037037037
"55" "bootstrap/lib/compiler/ebin/v3_core.beam" 17 880 0.0193181818181818
"56" "bootstrap/lib/compiler/ebin/v3_kernel_pp.beam" 9 114 0.0789473684210526
"57" "bootstrap/lib/compiler/ebin/v3_kernel.beam" 15 725 0.0206896551724138
"58" "bootstrap/lib/compiler/ebin/v3_life.beam" 10 379 0.0263852242744063
"62" "bootstrap/lib/kernel/ebin/application_controller.beam" 14 726 0.0192837465564738
"63" "bootstrap/lib/kernel/ebin/application_master.beam" 6 137 0.0437956204379562
"64" "bootstrap/lib/kernel/ebin/application_starter.beam" 6 8 0.75
"65" "bootstrap/lib/kernel/ebin/application.beam" 8 43 0.186046511627907
"66" "bootstrap/lib/kernel/ebin/auth.beam" 7 152 0.0460526315789474
"67" "bootstrap/lib/kernel/ebin/code_server.beam" 23 516 0.0445736434108527
"68" "bootstrap/lib/kernel/ebin/code.beam" 18 182 0.0989010989010989
"69" "bootstrap/lib/kernel/ebin/disk_log_1.beam" 10 346 0.0289017341040462
"70" "bootstrap/lib/kernel/ebin/disk_log_server.beam" 7 114 0.0614035087719298
"71" "bootstrap/lib/kernel/ebin/disk_log_sup.beam" 3 4 0.75
"72" "bootstrap/lib/kernel/ebin/disk_log.beam" 14 821 0.0170523751522534
"73" "bootstrap/lib/kernel/ebin/dist_ac.beam" 10 527 0.0189753320683112
"74" "bootstrap/lib/kernel/ebin/dist_util.beam" 9 168 0.0535714285714286
"75" "bootstrap/lib/kernel/ebin/erl_boot_server.beam" 5 87 0.0574712643678161
"76" "bootstrap/lib/kernel/ebin/erl_ddll.beam" 7 64 0.109375
"77" "bootstrap/lib/kernel/ebin/erl_distribution.beam" 4 31 0.129032258064516
"78" "bootstrap/lib/kernel/ebin/erl_epmd.beam" 7 104 0.0673076923076923
"79" "bootstrap/lib/kernel/ebin/erl_reply.beam" 3 5 0.6
"80" "bootstrap/lib/kernel/ebin/error_handler.beam" 6 18 0.333333333333333
"81" "bootstrap/lib/kernel/ebin/error_logger.beam" 4 99 0.0404040404040404
"82" "bootstrap/lib/kernel/ebin/erts_debug.beam" 9 65 0.138461538461538
"83" "bootstrap/lib/kernel/ebin/file_io_server.beam" 13 393 0.0330788804071247
"84" "bootstrap/lib/kernel/ebin/file_server.beam" 9 131 0.0687022900763359
"85" "bootstrap/lib/kernel/ebin/file.beam" 20 425 0.0470588235294118
"86" "bootstrap/lib/kernel/ebin/gen_sctp.beam" 8 56 0.142857142857143
"87" "bootstrap/lib/kernel/ebin/gen_tcp.beam" 5 41 0.121951219512195
"88" "bootstrap/lib/kernel/ebin/gen_udp.beam" 5 24 0.208333333333333
"89" "bootstrap/lib/kernel/ebin/global_group.beam" 10 474 0.0210970464135021
"90" "bootstrap/lib/kernel/ebin/global_search.beam" 5 99 0.0505050505050505
"91" "bootstrap/lib/kernel/ebin/global.beam" 16 744 0.021505376344086
"92" "bootstrap/lib/kernel/ebin/group.beam" 11 409 0.0268948655256724
"93" "bootstrap/lib/kernel/ebin/heart.beam" 8 55 0.145454545454545
